歌名,署名,性別,wp/fe 引文,問題(含引文),M1 將女性化約為身體部位與可品評物件,M2 以命令句指揮女性的身體與行為,M3 男性單一視角代言，女性全程無聲,M4 金錢供養與親密關係的交易腳本,M5 性的雙重標準與貞潔敘事,M6 挪用女性賦權語彙並掏空其意涵,M7 架空拒絕與同意,M8 「紅顏禍水」式的歸咎敘事,M9 男性自居評價者、授權者與守門人,M10 單向忠誠要求與占有控制,M11 貶抑其他女性以襯托眼前對象、將女性可替換化,M12 動物化、幼體化與馴服框架,M13 以性征服炫耀男性氣概、將性框架為男性間的較量,F1 厭女詞彙的雙向流通——自稱與攻擊共用同一套貶稱,F2 陰性即侮辱、陽剛即力量的語言階序,F3 以男性為戰利品的女性敵對競爭,F4 男性過錯的責任轉嫁至女性,F5 性—資源交易腳本,F6 消費化的賦權——以財富與奢侈品界定自主與尊重,F7 身體的部位化與商品化自我物化,F8 自主宣言與男性凝視背書的矛盾結構,F9 權力位置的翻轉而非拆解,F10 冷硬無情等於力量的情感規訓,F11 照顧、隱忍與依附的浪漫化,F12 同意界線的模糊與施壓,F13 支配—臣服腳本的情慾化,F14 好女人／壞女人的分類與自我切割,X1 貶抑稱謂的常態化：以「bitch」「hoe」作為女性的預設稱呼,X2 女性被化約為身體部位與性功能,X3 性與親密關係的金錢交易化,X4 所有格宣示與男性間較勁的戰利品邏輯,X5 女性作為可計數、可挑選、可丟棄的可替換品,X6 性同意的消解與性資格感,X7 命令句驅使女性進行性化的身體表演,X8 女聲的自我賦權以貶抑其他女性為代價,X9 以男性為軸心的女女敵對競爭,X10 「陰性＝低劣」的象徵階序,X11 女性犧牲、忍耐與自我消耗的神聖化,X12 男性免責與女性承擔善後,X13 女性失語與男性代言、救世主敘事,X14 女性情緒的病理化與噤聲規訓,X15 女性自我價值錨定於男性凝視與慾望,X16 聖女／蕩婦二分與性的雙重標準
30 For 30,SZA With Kendrick Lamar,mixed,"Somethin' about a conservative, regular girl that still can beat a bitch ass
Ain't huggin' or smilin' for none of these bitches
I'm thirty for thirty, I'm thirty for thirty, I'm thirty for thirty, I'm thirty for thirty, I'm","1. 全曲反覆以「bitch」貶稱其他女性，將厭女詞彙內化並當作日常攻擊武器，強化以侮辱女性身分作為貶低手段的語言結構（3/3）：「Ain't huggin' or smilin' for none of these bitches」、「Should I fold that bitch, no yoga mat?」、「Thorough as fuck, don't need your bitch ass / Psychic as fuck, can read your bitch ass」、「Bitch shit, then you might get minked」。
2. 對其他女性進行蕩婦羞辱（slut-shaming），以性經歷數量攻擊女性的價值，複製針對女性的性道德雙重標準——敘事者自己也唱到「I love side thing」，卻以床伴數量攻擊另一名女性（3/3）：「Mistakenly, nobody been in they bag, but how many bodies done been in her bed?」。
3. 把月經當作羞辱工具，藉「說男人也有月經」、「像女人」來貶低男性，前提是將女性生理特徵預設為軟弱、可恥之物，本質上仍是厭女邏輯（3/3）：「Say you on your cycle, but he on his period too, oh」。
4. 將女性間的關係描繪成圍繞男性的敵意競爭，透過在其他女性的伴侶面前炫耀壓過她們來確立自身地位，強化「女性互為情敵、以男性目光為裁判」的父權框架（3/3）：「I'm wipin' 'em down in front of they nigga / That's the way I like it」。
5. 誇耀對其他女性施加肢體暴力，將「能打贏另一個女人」當成值得稱許的資本，把賦權窄化為對其他女性的暴力宰制與打壓，而非團結（3/3）：「Somethin' about a conservative, regular girl that still can beat a bitch ass」、「Should I fold that bitch, no yoga mat?」、「Bitch shit, then you might get minked / Mink, mink, mink」。
6. 開場將渴望愛與承諾的情感需求貶為「不成熟」，暗示在乎對方是否真心、是否守信是幼稚可笑的，內化了「重視情感、表達脆弱＝軟弱」的貶抑邏輯；對照後文「Tryna feel good inside, he never wanna hold me」可見情感需求其實仍在，卻被自我否定與壓抑（3/3）：「I used to think about immature things / You know, like / Do you love me? Do you want me? / Are you gon' call me like you said you would?」。
僅單獨提及：以食用肉品（和牛）比喻他人的柔軟溫情，將人（語境中含女性對手）物化為可品評、可消費之物（「The tenderness of 'em, mistakin' 'em for some wagyu, oh」）。",,,,,,,,,,,,,,,✓,✓,,,,,,,✓,,,,✓,,,,,,,,✓,✓,✓,,,,,,✓
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,female,"Baby, you might need a seatbelt when I ride it","1. 歌詞複製「正宮／小三」的二元框架，將女性依其與男性的性關係分類，把「側室式的性」隱含為更放得開、可供玩弄的標準，體現蕩婦／賢妻的雙重標準（Madonna–whore 框架）；且對照呈現性忠誠上的不對稱——男方可享有「側室式待遇」，女方則宣告單方忠誠，將此不平等腳本自然化。即使出自女性之口，仍是在挪用並鞏固這套貶抑女性的分類語彙。（2/3）引文：「Even though I'm wifey you can hit it like a side chick / Don't need no side dick, no」
2. 以貶抑女性的字眼「bitch」自稱；縱然是自嘲或戲謔的自我指涉，在文本中不加翻轉地沿用，仍再生產以侮辱女性為基礎的語言慣習。（2/3）引文：「You're such a dream come true, true / Make a bitch wanna hit snooze, ooh」
3. 歌詞呈現說話者為性事預先節制、打理自己的身體，包括強調潔淨（「squeaky」），呼應「女性身體須事先整備、保持乾淨以供對方享用」的社會規訓；相對地，歌詞對男方並無任何對等的身體整備要求。（2/3）引文：「I been drinking coffee (I been drinking coffee) / And I been eating healthy (And I been eating healthy) / You know I keep it squeaky, yeah (You know I keep it squeaky) / Saving up my energy (Saving up my energy)」",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,✓,✓,,,,,,,,,,,,,,,✓
7 Rings,Ariana Grande,female,"Bought matching diamonds for six of my bitches
Whoever said money can't solve your problems
Ain't got enough money to pay me respect
I'd rather spoil all my friends with my riches","1. 將女性賦權窄化為消費能力，把快樂、療癒與問題的解決直接等同於金錢與購物，複製資本主義式的「商品化女性主義」（3/3）：「Whoever said money can't solve your problems / Must not have had enough money to solve 'em」、「Happiness is the same price as red-bottoms」、「Think retail therapy my new addiction」、「Buy myself all of my favorite things (yeah)」。
2. 賦權論述具階級排他性，自主建立在極端財富之上，暗示沒有財富的女性無從取得這種自主（2/3）：「Black card is my business card」、「Ain't no budget when I'm on the set」、「I bought a crib just for the closet」。
3. 女性價值高度繫於外貌與妝飾的展演，並以他人目光確認，且外貌本身被呈現為購買而來的商品，強化需要花費金錢維持的美貌標準（3/3）：「Lashes and diamonds, ATM machines」、「My smile is beamin', my skin is gleamin' / The way it shine, I know you've seen it」、「my gloss is poppin'」、「You like my hair? Gee, thanks, just bought it」。
4. 自我物化，將女性身體與金錢財物並置為可觀看、可估價的展示品（3/3）：「When you see them racks, they stacked up like my ass, yeah」、「My wrist, stop watchin', my neck is flossin'」、「Look at my neck, look at my jet」。
5. 以貶抑女性的詞彙「bitch」指稱自己與女性友人，即便是收編式挪用，文本上仍再生產並流通了針對女性的侮辱性語彙（3/3）：「Been through some bad shit, I should be a sad bitch」、「Bought matching diamonds for six of my bitches」。
6. 將「尊重」明碼標價，把女性應得的尊重框定為可用金錢衡量與交換之物，而非其作為人的基本權利，鞏固「有錢才配被尊重」的邏輯（3/3）：「Ain't got enough money to pay me respect」。
7. 姊妹情誼被表述為以財富餽贈維繫與表達的關係，女性間的連帶被物化、收編進消費邏輯（3/3）：「I'd rather spoil all my friends with my riches」、「Bought matching diamonds for six of my bitches」。
僅單獨提及：開場以刻板印象式標籤概括「某類女孩」，將女性化約為造型符號加上「愛惹麻煩」的性格模板（「Girls with tattoos who like getting in trouble」）。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,✓,✓,,,,,,,,✓,,,,,,,,,,,,,,,
abcdefu,GAYLE,female,"Told everyone I'm a bitch, so I became it","1. 遷怒並連坐對方的女性親屬：怒火本應指向前任本人，卻將其母親與姊妹一併罵進去，讓與衝突無關的女性成為代罪對象，複製「透過羞辱他身邊的女人來懲罰男人」的父權邏輯（3/3）——「A-B-C-D-E, fuck you / And your mom and your sister and your job」
2. 敵視「另一個女人」而非追究當事人：前任為索取關注而與另一名女子交往，歌者卻將敵意與貶抑指向這名同為被利用者的女性，稱其為「我恨的女孩」並以交往天數嘲弄、物化她，落入女性互相仇視（woman-versus-woman）、為男人爭鬥的父權劇本，也將該女性化約為工具而非有主體性的人（3/3）——「Dated a girl that I hate for the attention / She only made it two days, what a connection」
3. 接受並內化性別化的辱罵標籤：對方以專門貶抑女性的「bitch」公開污名化歌者，歌者回應「乾脆成為它」；雖可讀作挑釁式的反轉挪用，但文本並未翻轉該詞的貶義，仍以對方定義的厭女語彙形塑自我，在該詞的性別羞辱框架內運作（3/3）——「Told everyone I'm a bitch, so I became it」
4. 以階級與經濟條件作為貶損武器：嘲弄對方的貧窮、破車與二手家具，將「窮」當作人格缺陷攻擊；從交織性（intersectionality）觀點，這種階級貶抑複製了以財力衡量人（尤其衡量男性伴侶價值）的父權評價體系，與其說是解構壓迫，不如說是換一套標準延續它（3/3）——「And your broke-ass car and that shit you call art」、「And your craigslist couch and the way your voice sounds」",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,
About Damn Time,Lizzo,female,"Bitch, I might be better
It's bad bitch o'clock
It's bad bitch o'clock / Yeah, it's thick-thirty",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act Up,City Girls,female,"Real ass bitch, give a fuck 'bout a nigga
Drop a couple racks, watch this ass get bigger
I ain't never worry, I just deal with it for fun
I don't care about your chain, nigga, or your big truck (Nah)","1. 以「bitch」「hoes」等貶抑性字眼攻擊其他女性，複製父權／厭女語言，將侮辱女性的詞彙當作武器，在女性之間製造敵意與階序而非團結（3/3）：「I ain't got time for you fake-ass hoes」、「I'm the realest bitch ever to you snake-ass hoes」、「You bitches weak, is you serious?」
2. 對其他女性發出暴力威脅（含動用武器），將女性間的衝突以肢體暴力解決正當化（3/3）：「Act up, you can get snatched up」、「Pop a pussy bitch quick, like a bubblegum」、「I keep a baby Glock, I ain't fightin' with no random, period」
3. 以外貌、衣著真偽與消費能力羞辱其他女性，強化「女性價值取決於外表與物質」的父權審美規訓，助長女性間相互貶低（3/3）：「Dirty ass nails, baby girl, you need to back up」、「Talkin' all loud in them fake-ass clothes / Fake ass shoes match that fake-ass gold」
4. 把男性當成女性之間競爭與炫耀的戰利品，以「搶走妳的男人」羞辱其他女性（包括有孩子的母親），將女性的價值與地位建立在男性的性選擇之上，鞏固「女人為男人互鬥」的框架（3/3）：「Your baby daddy fuckin' me and suckin' me / He don't answer you, bitch, that's because of me」、「She see my number in his phone, now you actin' curious」
5. 將性與親密關係徹底金錢化、明碼標價，雖以女性主動掌控的口吻呈現，實質仍將女性的身體與性當作向男性換取財富的籌碼，把男性財力當作交往前提，延續「女性以性服務換取男性資源」的物化交易邏輯而非挑戰它（3/3）：「If his money right, he can eat it like a Snicker」、「If your ass a broke nigga, hell nah, I can't date ya / If your ass a rich nigga, I'ma fuck ya 'til you ain't one」、「He can't come around without that cabbage, um」、「Give a fuck what a nigga got if he ain't givin' it」、「He gon' buy me Gucci if I ask for it」
6. 高度自我物化，為迎合金錢與男性凝視而花錢改造身體，將自身身體部位化、商品化為主要資本（3/3）：「Drop a couple racks, watch this ass get bigger」、「Pussy sweet, pussy tight, so he called it Lifesaver」、「Nails done, hair done, ass too」、「Oh, you like big butts, well I like big bucks」
7. 把乳癌這一主要侵害女性健康與生命的疾病當作情色押韻的玩笑材料，輕慢女性的身體與病痛，對深受其害的女性群體不尊重（3/3）：「He wanna freak, pussy pink, breast cancer」
8. 將對方的弟妹（文意上暗示為年幼者「lil'」）納入性化語境並當作羞辱、炫耀工具，有性化未成年或年少者之虞（3/3）：「I bet your lil' sister wanna look like me (Lil' bitch) / I bet your lil' brother wanna fuck on me」",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,✓,,✓,,✓,,,,,,,,,,✓,,,,,✓,✓,,,,,,✓,
Adventure Of A Lifetime,Coldplay,male,Only I own me,無,,,,,,,,,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,
Agora Hills,Doja Cat,female,"Boys be mad that I don't fuck incels
Girls hate too, gun to their pigtail","1. 將親密關係中的暴力浪漫化、情慾化，把「被打」描寫成愛的表現與值得喜愛的事，模糊親密暴力與情愛的界線（3/3）：「Love it when he hit and smack too」、「You can hit while they watch, boy」。
2. 複製「愛就是要承受痛苦」的有害腳本，將痛苦合理化為感情的必要成分，強化女性應忍受傷害以換取愛的敘事，正是使受暴者難以離開關係的迷思（3/3）：「'Cause love is pain, but I need this shit (yeah)」。
3. 以貶抑性詞彙攻擊其他女性，用將女性比作動物的蔑稱（birds）貶低同性，複製「女人為難女人」的厭女結構（3/3）：「Fuck what they heard, I don't fuck with them birds」。
4. 對其他女性施以暴力威脅的想像，並以「pigtail（辮子）」這一少女化符號將女性幼體化後再對其施暴，鼓吹女性之間的敵意與「雌競」而非團結，是雙重的厭女表述（3/3）：「Girls hate too, gun to their pigtail」、「I'm a mean kitty, don't get stabbed with the rat tooth」。
5. 極端的自我物化，將自身身體化約為供男性使用的「洞」，去人格化並抹除主體性（3/3）：「Hold me down when a hole need dick」。
6. 強化「男性＝強壯的保護者、女性＝被保護者」的傳統性別分工，以男性體格力量作為魅力與擇偶價值的核心標準，並把這種角色安排包裝成對男方的好處（3/3）：「Who that man with the big strong hands」、「Be my security, it's your therapy」。
7. 將婚姻、婚戒與伴侶當作向他人炫耀、壓過情敵的地位象徵與可供展演的戰利品，把承諾化約為財物展示與競爭工具，使關係的價值繫於外界眼光而非雙方對等的情感（3/3）：「Rub it in their face, put a rock on her hand」、「I wanna brag about it (yeah)」、「I wanna show you off (off)」、「Kissin' and hope they caught us (ah) / Whether they like or not (not)」。
8. 把在公開場合（狗仔鏡頭前）被伴侶佔有式觸摸臀部並被拍下當作值得誇耀的場面，將女性身體呈現為公開展示、供人觀看的男性氣概展示品（2/3）：「On her ass in the club with the paps? Baby, that's you」。
僅單獨提及：以貶低特定男性群體（incels）的性資格來自抬身價，把「跟誰上床」當作階級篩選與羞辱工具，反向複製以性評價人的父權邏輯。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,,,,✓,,,,✓,,✓,,,✓,,,,,,✓,✓,,✓,,,,,
Area Codes,Kaliii,female,"I'ma get to this money, it's fuck these niggas
I'ma get to this money, it's fuck these niggas / That's forever the motto (fuck 'em)
And I'm big pimpin' 'cause they know (they know what's up)
I got hoes (might just be your nigga) / In different area codes (he know what's up)","1. 所謂「賦權」實際上仍以依附男性財富為核心：敘事者的力量感與自信幾乎全建立在男性供養的金錢與物質之上，經濟能動性被呈現為「向男人要錢」而非自身獨立，複製而非顛覆女性經濟依賴的父權結構。（3/3）引文：「He be feeding me pasta and lobster」、「I'ma send you 'bout eight fifty」、「Anytime I need some money, he say pull up / 'Cause it gotta be cash」、「In his pockets like I hit the lotto」、「That I could pick up my Mercedes」。
2. 女性價值被錨定於外貌、化約為可被金錢定價的商品：男方僅因敘事者「長得美」就給錢，敘事者欣然接受，等於肯認女性的身體與容貌是可供男性出價的交易品，複製「女色換資源」的父權交易邏輯。（3/3）引文：「Matter of fact, scratch that, I'ma send you a stack / Just cause you fine as hell」、「And I told him, ""Well, thank you, baby""」。
3. 沿用並再生產貶抑女性的厭女詞彙：即使出自女性之口，以「hoes」「bitch」「ho」標記、物化他人（包括其他女性），仍是把貶低女性的語言當作炫耀資本，鞏固其羞辱功能，並未挑戰其貶抑本質。（3/3）引文：「I got hoes / In different area codes」、「might just be your bitch (she know what's up)」、「Yeah, I swear it's hard for him to keep my calm, ho」。
4. 以「皮條客」邏輯自我標榜，美化歷史上剝削女性的體制：「pimpin'」與「trick」的框架建立在支配、販賣與剝削他人性勞動的權力關係上，將其挪用為自我抬舉並要求對象隨傳隨到、交出定位，只是把宰制者換了性別，並未解構物化與支配本身。（3/3）引文：「And I'm big pimpin' 'cause they know」、「You know I love me a motherfuckin' trick」、「I call and they drop the lo' (come drop that fuckin' location)」。
5. 將男性伴侶的佔有欲與致命暴力威脅浪漫化、常態化：男方以「要殺掉哪個男人」表達嫉妒與控制，歌詞將此當作深情、情趣或被珍視的證明呈現，淡化並正常化親密關係中以女性為「所有物」而引發的控制與暴力。（3/3）引文：「What nigga I gotta put up in the dirt / 'Cause why you ain't never in town?」、「He be tweakin' 'cause he ain't my vato」。
6. 以反向物化與概括性敵意取代平等關係：把所有異性化約為提款與榨取的工具、將關係全面商品化並以輕蔑為座右銘，只是鏡像複製父權下的物化與「支配—被支配」模式，而非建立女性主體性或平等關係。（3/3）引文：「I'ma get to this money, it's fuck these niggas / That's forever the motto」、「In his pockets like I hit the lotto」。",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,,,✓,,,,✓,,,,,,✓,,✓,,,,,✓,,,,,,,,
Bad Guy,Billie Eilish,female,"I'm only good at bein' bad, bad","1. 以女性之間的敵對與傷害作為自我力量的證明，複製「女人為爭奪男人而互鬥」的父權敘事，並以另一名女性的恐懼與男方的孤單為樂（3/3）：「Make your mama sad type / Make your girlfriend mad type」、「I like when you get mad / I guess I'm pretty glad that you're alone」、「You said she's scared of me? / I mean, I don't see what she sees / But maybe it's 'cause I'm wearing your cologne」。
2. 敘事者的「壞」與力量幾乎完全以性誘惑力及對男性周邊關係的破壞來定義，自我價值仍以男性為中心、以「能勾引誰」為量尺，未提出其他形式的主體性（3/3）：「I'm that bad type / Make your mama sad type / Make your girlfriend mad type / Might seduce your dad type」、「I'll be your animal」。
3. 以身體傷痕與自我動物化描寫親密關係，將跪至瘀傷呈現為取悅、服侍男性的證明；雖同時有自主宣示，實際上仍主動讓渡控制權、配合男性支配慾，在「壞女孩」外衣下重演屈從腳本，並有浪漫化粗暴／臣服的風險（3/3）：「Bruises on both my knees for you / Don't say thank you or please」、「I like it when you take control / Even if you know that you don't own me / I'll let you play the role / I'll be your animal」、「I do what I want when I'm wanting to」。
僅單獨提及：強勢、有力量的主體位置仍需借用男性稱謂「guy」（「I'm the bad guy, duh」）來命名，暗示有權力者的預設形象是男性，且自我價值被限縮於單一的「壞」（「I'm only good at bein' bad, bad」）。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,,,,,✓,,,,,✓,,,,,,,,,,✓,,,,,,✓,
