Pattern,Group,Name,Description
M1,male,將女性化約為身體部位與可品評物件,女性在歌詞中不以完整的人出現，而是被化約為特定身體部位、以「it」「that thing」等物件代稱，或直接比擬為資產、商品，由男性敘事者逐項打量、驗貨、打分。這種化約使女性成為供觀看與取用的客體，其「真假」「行情」皆可被檢視估值，主體性在語言層面即被抹除。
M2,male,以命令句指揮女性的身體與行為,男性聲部大量使用祈使句，直接規定女性該如何擺弄身體、如何展示自己、該對誰說什麼；即使表面內容是「稱讚」或「賦權」，語法上的指令位置仍使女性成為被指揮的執行者，行動的發動權握在說話的男性手中。
M3,male,男性單一視角代言，女性全程無聲,全曲由男性敘事者獨白，女性的內心、慾望、過去與人生選擇皆由男方轉述、詮釋與定義；她沒有名字、沒有自己的聲部，或即使有女聲也只被分配無實質內容的和聲。男性自認能讀出她的「真實心意」，她的存在被化約為男性經驗中的事件與素材。
M4,male,金錢供養與親密關係的交易腳本,親密關係被鋪排為「男性出資、女性以身體或忠誠回報」的對價結構：男方以信用卡、保險箱密碼、購物、開店承諾滿足想像中的女性需求，女方的消費被恩賜化；即使女聲展現議價姿態，其權力來源仍繫於男性錢包，複製女性經濟依附的框架。
M5,male,性的雙重標準與貞潔敘事,男性敘事者一面炫耀自己四處留情、性能力過人，一面審查女方的性史、迷戀其「初次」與「空白」，或嘲弄其性選擇；性征服是男性的本錢，性歷史卻是女性的污點，形成明確的雙重標準與處女情結式的評價機制。
M6,male,挪用女性賦權語彙並掏空其意涵,原屬女性自主、自我賦權的語句與符號（「girls just wanna have fun」「hot girl」、女性的「解放」與自由）被男性敘事挪用後翻轉：或改寫為所有女性圍繞男性打轉，或接上嘲弄字眼加以譏諷，或把女性「為自己而活」的行為重新詮釋為對男性的性可得性，使賦權語彙淪為服務男性慾望的裝飾。
M7,male,架空拒絕與同意,女性明確的拒絕被詮釋為欲擒故縱的測試遊戲，設下的界線被描述為男性必須「攻破」的障礙；同時在對方飲酒、情感脆弱、判斷力可能受損的情境下推進追求，把踩剎車的責任推給女方、預設沉默即同意，使「不就是不」的同意原則在敘事中失效。
M8,male,「紅顏禍水」式的歸咎敘事,行使自主權、主動離開或單純存在的女性，被描繪為蓄意誘惑、摧毀男性的危險力量；男性的心碎、慾望與情感責任被整批轉嫁到女方身上，主動選擇的女性被貼上「會傷害男人」「應被警惕」的標籤，男性則自居受害者。
M9,male,男性自居評價者、授權者與守門人,即使歌詞表面在讚美或「聲援」女性，評價與認可的權力始終在男性手上：由他審核她「帶了什麼上桌」、裁定她的展現「沒關係」、宣稱她不需要外界認可（而正是由他來確保這一點），甚至她的事業與夢想也取決於男方的一通電話，女性的價值須經男性核可方能成立。
M10,male,單向忠誠要求與占有控制,忠誠、順從與情緒供給的義務僅單方面加諸女性：以誓詞式逼問要求她永不離開、擅自切斷她的人際關係與通訊、以暴力威脅框限其社交自主，或要求她無條件附和、拒絕被質疑；未見任何對等的承諾結構，關係權力全然不對等。
M11,male,貶抑其他女性以襯托眼前對象、將女性可替換化,歌詞以「hoes」等厭女詞彙貶低其他女性、抹黑女性情誼、暗示多數女性只想依附，藉此抬高眼前這一位「特別」的女子；而她的特別又建立在男性閱女無數的比較之上，女性整體被放進可品評、汰選、互換的集合，並被挑動彼此敵意。
M12,male,動物化、幼體化與馴服框架,女性被比擬為馬匹等可騎乘、可駕馭的動物，或以「小東西」「小寶貝」等幼體化、寵物化稱呼矮化；即使以否定句表態「不馴服她」，仍預設馴服女人是常態選項，男性居於決定馴服與否、施予自由與否的權力位置。
M13,male,以性征服炫耀男性氣概、將性框架為男性間的較量,性行為被以狩獵、命中、考驗等語彙描述為男性的戰績與資本：或炫耀能奪取他人伴侶、或以陽具與性能力自誇、或挑釁式質疑女方的「承受能力」，女性的意願缺席，僅作為男性之間比拚性能力的標的與戰利品。
F1,female,厭女詞彙的雙向流通——自稱與攻擊共用同一套貶稱,大量報告呈現同一種語言機制：女性敘事者以「bitch」「hoes」「ho」等根源於貶低女性的詞彙，同時用於自我命名（常以「賦權」「挪用」姿態出現）與攻擊其他女性。由於同一詞彙在文本內兼作自誇與罵詞，其貶義功能持續運作，挪用的翻轉意涵被抵銷；即使全數出自女性之口，仍再生產「以侮辱女性的字眼定義女性」的語言結構，並使該詞彙常態化。
F2,female,陰性即侮辱、陽剛即力量的語言階序,多份報告指出一種對稱的修辭：一方面以女性性器或陰柔特質（「pussy」「sissy」「bitch」）作為「懦弱、低劣」的罵詞，另一方面以男性身體符碼與陽剛資格（陰莖尺寸、「夠不夠男人」、big dick energy）作為力量與人格價值的度量。無論罵的是男是女，這套語言都預設「陰性＝可鄙、陽剛＝權力」，女性敘事者展現強悍時也須借用男性符碼命名自身力量。
F3,female,以男性為戰利品的女性敵對競爭,跨越極多首歌的核心情節：女性之間的關係被框定為圍繞男性注意力、慾望與佔有的零和較勁——以「搶走妳的男人」「他有女友仍求見我」作為炫耀與羞辱手段，把男性當作女性互鬥的獎品與計分工具，並常升級為對其他女性的肢體暴力威脅展演；自我賦權建立在其他女性的失敗、恐懼與從屬之上，而非任何連帶。
F4,female,男性過錯的責任轉嫁至女性,當敘事涉及男性的背叛或失格，怒火與究責常偏移到女性身上：指向「第三者」、對方的新歡、母親姊妹等親屬，甚至內化為敘事者的自我懷疑；真正該負責的男性則在敘事中隱身、免責，形成「女人怪罪女人」「女人替男人的錯自責」的結構。
F5,female,性—資源交易腳本,性與親密關係被明碼標價為與男性金錢的交換：以性魅力換取名牌、學費、供養，以男方財力作為交往前提與篩選標準。即使以女性主動、掌控的口吻呈現，文本仍複製「男性出錢、女性以性回報」的性別化交易結構，把女性身體價值錨定在男性購買力上，而非挑戰這套交換邏輯。
F6,female,消費化的賦權——以財富與奢侈品界定自主與尊重,「賦權」「獨立」「療癒」被窄化為消費能力與排場符號：快樂等同購物、尊重繫於金飾財力、姊妹情誼以餽贈名牌維繫。這種論述具階級排他性，將女性自主收編進市場邏輯，對不具此經濟條件的女性形成排除，也未觸及結構性的平等。
F7,female,身體的部位化與商品化自我物化,女性（含敘事者自身）被拆解為可檢視、評分、品嚐的部位與規格清單：胸、腰、臀的比例評比，以食物、飲品、貴金屬、玩偶等消費品自況，把「可被觀看、可被取用」當作價值來源。即使以第一人稱自信口吻發聲，仍複製將人化約為可估價客體的凝視邏輯。
F8,female,自主宣言與男性凝視背書的矛盾結構,許多歌曲開頭或表層是自主、獨立、女神式的宣告，但價值的最終認證權仍交還男性：力量由「你」觸發、神性須「讓你相信」、魅力以男人驚豔失神、慾求排隊為證。宣稱自主與引用男性凝視作證並存於同一文本，形成內在矛盾，使賦權敘事繞回男性裁判的迴圈。
F9,female,權力位置的翻轉而非拆解,「女力」以宰制—服從關係的位置對調來呈現：把男性化約為征服名單上的戰利品、可試駕丟棄的商品、待馴的狗，或以絕對王權式威嚇號令他人。物化與支配的邏輯原封不動，只是換人坐上壓迫者的位置；被複製的是「以征服計分」「階序即力量」的父權權力模式本身。
F10,female,冷硬無情等於力量的情感規訓,「變強」被等同於情感封閉：不流淚、少付出、令對方依賴、心碎也維持完美儀容。這套敘事採納傳統陽剛支配腳本（壓抑情感、以他人依賴為權力來源）作為女性力量的樣板，並貶抑長期被性別化的依附與脆弱特質，把痛苦不得外露當成美德甚至加以審美化。
F11,female,照顧、隱忍與依附的浪漫化,女性被定位為修復破碎男人、打理其生活、無條件原諒與等待的一方：明知受傷仍「一次又一次給機會」、以家務與情感勞動作為自我推銷的賣點、把「無法放手」呈現為愛的證明。這種付出被描繪成天性或美德，使不對等的情感勞動與依附式自我價值被自然化。
F12,female,同意界線的模糊與施壓,性互動的描寫反覆侵蝕明確同意的原則：將酒醉與性事直接綁定並浪漫化、對顯露遲疑者斷定「你其實想要」並叫對方閉嘴、把拒絕與調情姿態並置而稀釋「不」的訊息。無論施壓方性別為何，這套「拒絕或遲疑不算數」的話術邏輯都在文本中被常態化。
F13,female,支配—臣服腳本的情慾化,親密關係中的上下位階被編碼為情趣與愛的證明：以「daddy」「papa」稱呼伴侶、將被打被銬被管教描寫為愛與魅力、自居被男性擺弄的從屬角色並以身體傷痕為取悅的憑證。父權式的權力階序在此不是被批判的對象，而是被慾望化、浪漫化的腳本。
F14,female,好女人／壞女人的分類與自我切割,文本以性行為與關係位置對女性進行分類排序——好女孩／壞女孩、正宮／小三、「真」與「假」——敘事者常藉「我不是那種女人」的切割自抬身價，一面宣示性自主、一面以蕩婦羞辱與性活躍女性劃清界線。這套雙重標準將父權對女性性的評價體系內化為女性彼此定位的座標。
X1,mixed,貶抑稱謂的常態化：以「bitch」「hoe」作為女性的預設稱呼,跨越大量歌曲，無論男聲或女聲，皆以「bitch」「hoe」「trick」「chicks」等貶抑詞彙作為指稱女性的日常用語——用於通稱、問候、稱讚甚至自況，使侮辱性標籤脫離罵人的語境而成為中性化的預設稱謂。其運作方式是把「女性」本身變成貶義詞：即使語境看似親暱或讚美，女性仍須先被安上侮辱性前提才能被談論，整體污名化因反覆流通而被自然化。
X2,mixed,女性被化約為身體部位與性功能,女性在歌詞中被拆解為臀、胸、性器官等零件，或以「東西」、動物、車輛、食物等非人意象指稱，其存在價值被限縮於性功能與可供觀賞的部位。此一機制通常由男性敘事者的凝視驅動：讚美收束於身體，關係中「唯一真實」的只剩身體部位，人格主體被整個抹除。
X3,mixed,性與親密關係的金錢交易化,性關係被反覆框定為明碼標價的交易：性同意可用金錢購買、身體可與名牌精品比價、性服務以學費、紅底鞋、帳戶存款作為對價，「跟我混就有錢拿」成為關係的基本語法。此模式雙向運作——男聲以財力宣示對女性性的購買權，女聲段落亦常以「以性換取物質」作為誇耀資本，使親密關係整體被收編進商品邏輯。
X4,mixed,所有格宣示與男性間較勁的戰利品邏輯,以「my bitch」「your bitch」「your women」等所有格語式將女性標記為男性財產，與名車、鑽石並列為地位象徵；「搶走你的女人」則成為男性之間互相羞辱、炫耀的籌碼，女性的反應只用來證明說話者的魅力並貶低對手。女性在此結構中沒有立場與聲音，僅作為可奪取、可交換的戰利品在男性之間流通。
X5,mixed,女性作為可計數、可挑選、可丟棄的可替換品,女性以複數、清單、數量的形式出現：按國籍羅列比較、以童謠點選遊戲挑選、以一夜情次數與「拉來的女孩數」計分，連名字都可以亂猜或不記得。其運作在於強調數量而抹除個體——任何一個女性都可被下一個取代，去留取決於是否提供性服務，拒絕即遭驅逐或丟棄。
X6,mixed,性同意的消解與性資格感,多首歌以不同手法架空女性的「不」：下藥後性交並引以為傲、性行為中擅自取下保險套、宣稱「嘴上說不要其實想要」而比女性更懂她自己、以言語安撫壓制反抗、被封鎖後仍持續糾纏、把性當成女方「欠給」的東西而對拒絕表現質問。共同機制是男性慾望被預設為當然權利，女性的意願在文本中缺席、被改寫或被覆蓋。
X7,mixed,命令句驅使女性進行性化的身體表演,由男性（或男性視角）發出的祈使句——扭、倒退、彎腰、搖擺——把女性定位為聽令演出、供人觀賞取樂甚至可在男人之間「共享」的表演者。表演常與獲利、拍攝上傳、助興享樂綁定，女性在這些段落中沒有回應的聲音，只有被指揮的身體。
X8,mixed,女聲的自我賦權以貶抑其他女性為代價,眾多女性聲部展現金錢、性或事業上的強勢姿態，但其「賦權」的修辭建構在踩低同性之上：沿用「bitches」「hoes」「thots」等厭女詞彙、進行蕩婦羞辱、身體羞辱與階級羞辱，把其他女性貶為虛偽、嫉妒、低價值的群體以自我抬升。此模式顯示厭女語言被內化為女性自我證明的工具，賦權表述反而使貶抑語彙持續流通。
X9,mixed,以男性為軸心的女女敵對競爭,女性之間的關係被框定為圍繞男性的爭奪戰：「看好你的男人」、「搶走妳的男人」成為勝負宣言，男伴被描述為須藏好以防被奪的財產，女性則被提醒外面有大量競爭者、必須證明勝過其他女人才能留住男人。此機制把女性的價值與勝負綁定於男性的青睞，預設女性互為情敵而非同盟。
X10,mixed,「陰性＝低劣」的象徵階序,「像女人」被當作對男性的終極侮辱：以月經、八卦、呻吟、示弱等被標記為女性專屬的特質貶低對手；反之，權力的表達則借用「king」、皮條客、陽具意象等陽性符碼，即使由女性說出，仍以男性符號為力量的度量衡。兩者合構成同一套階序——陰性特質可恥、陽性特質為尊。
X11,mixed,女性犧牲、忍耐與自我消耗的神聖化,女性的付出被推向極致並加以歌頌：母親的人生化約為兒子的墊腳石、女方替男方承擔法律與財務風險被美化為「公平交換」、明知受傷仍以藥物麻痺自己留在有害關係被包裝為愛。共同機制是以「愛」「奉獻」「真心」之名，將自我抹除與依附有害關係浪漫化，女性作為獨立個體的需求就此消失。
X12,mixed,男性免責與女性承擔善後,男性的失責被輕描淡寫或完全歸零：缺席父親以一句戲謔帶過、酗酒失格的男方理所當然由女方容忍駕車善後、男性是否出軌甚至被歸因於女方性表現是否充分。運作方式是把育兒、經濟、情緒勞動與道德責任單向轉嫁給女性，男性則保有離開與犯錯的自由。
X13,mixed,女性失語與男性代言、救世主敘事,女性的處境由男性（或旁觀者）之口界定：受暴女性不被容許陳述與參與自身的「正義」，由男性代行暴力拯救；單親母親只透過他人的評價與指令被呈現；男性自居性與人生的「導師」，宣稱改變、教育、調教女方。共同形式是女性在攸關自身的敘事中缺席，其角色被收編為襯托男性英雄氣概或施恩姿態的素材。
X14,mixed,女性情緒的病理化與噤聲規訓,女性的憤怒、悲傷與抗議被貼上「瘋狂」「歇斯底里」「無理取鬧」的標籤，或被命令收起眼淚、閉嘴、安分、讓路；女聲段落亦常自我內化此框架，以道歉式口吻承認自己「psycho」「crazy」。機制在於把女性的情緒表達本身問題化，使提出質疑者噤聲，而男方無須檢視自身行為。
X15,mixed,女性自我價值錨定於男性凝視與慾望,即使在女性主導的段落中，自我讚頌的判準仍是「他喜歡」「他需要」「成為他的幻想」：身體價值由男性的目光、性反應與挑選來確立，力量與選擇權建立在「性感、可被慾望」之上。此形式使表面的自主表述仍以男性慾望為座標，賦權被限定在迎合凝視的範圍內。
X16,mixed,聖女／蕩婦二分與性的雙重標準,女性依性行為被劃入互斥的階序：可上床者即不配被娶、「大學女生」與性自主被預設為反差、「好女孩」成為品行規訓標籤，而女性的性經歷數量被當作攻擊其價值的武器——即使攻擊者自身同樣性自主。機制是男性（或敘事者）握有分類與評級權，女性的性成為決定其可敬程度的單一判準。
