Song ID,Run,Type,To Be Replaced,Correct Term
song-1,run1,evidence,You still hit my phone up,you still hit my phone up
song-1,run2,evidence,You still hit my phone up,you still hit my phone up
song-1,run3,evidence,You still hit my phone up,you still hit my phone up
song-13,run1,evidence,"You needed me\nTo feel a little more, and give a little less","you needed me\nTo feel a little more, and give a little less"
song-15,run1,evidence,The people still think I'm a star,the people still think I'm a star
song-15,run2,evidence,The people still think I'm a star,the people still think I'm a star
song-15,run3,evidence,The people still think I'm a star,the people still think I'm a star
song-18,run2,evidence,Let's start living dangerously,let's start living dangerously
song-18,run3,evidence,Let's start living dangerously,let's start living dangerously
song-19,run1,evidence,"It's just me, myself and I","it's just me, myself and I"
song-19,run2,evidence,"It's just me, myself and I","it's just me, myself and I"
song-19,run3,evidence,"It's just me, myself and I","it's just me, myself and I"
song-20,run1,evidence,"""Who would you live for?"" ""Who would you die for?""\nAnd ""would you ever kill?""","""who would you live for?"" ""Who would you die for?""\nAnd ""would you ever kill?"""
song-21,run3,keyword,warning-and-danger,**REMOVE**
song-29,run1,evidence,Last night I think I lost my patience,last night I think I lost my patience
song-29,run2,evidence,Last night I came to a realization,"Last night, I came to a realization"
song-29,run3,evidence,Last night I think I lost my patience,last night I think I lost my patience
song-32,run1,evidence,All these motherfuckers want a relapse,all these motherfuckers want a relapse
song-32,run1,evidence,You gon' have to do it at my tempo,you gon' have to do it at my tempo
song-32,run1,evidence,You look even better than the photos,you look even better than the photos
song-32,run2,evidence,All these motherfuckers want a relapse,all these motherfuckers want a relapse
song-32,run3,evidence,All these motherfuckers want a relapse,all these motherfuckers want a relapse
song-32,run3,evidence,You look even better than the photos,you look even better than the photos
song-34,run3,evidence,From the concrete I had rose,from the concrete I had rose
song-47,run1,evidence,Go through the darkest of days,go through the darkest of days
song-47,run2,evidence,Go through the darkest of days,go through the darkest of days
song-47,run3,evidence,Go through the darkest of days,go through the darkest of days
song-48,run2,evidence,"She said, ""Once you take me with you, I'll never go back""","You said, ""Once you take me with you, I'll never go back"""
song-49,run2,evidence,Tell me you're never leaving,tell me you're never leaving
song-50,run1,evidence,Even after all this time I still wonder,even after all this time I still wonder
song-50,run2,evidence,Even after all this time I still wonder,even after all this time I still wonder
song-50,run3,evidence,Even after all this time I still wonder,even after all this time I still wonder
song-58,run1,evidence,"Coming for the king, that's a far cry, I","Comin' for the king, that's a far cry, I"
